wialon_id,nm,cls,mu,pos_t,pos_y,pos_x,registration_plate,payload_json
28991328,BPA_Daewoo BH 120F GDW 807JR12,2,0,1768798542,49.645158,59.177796,807JR12,"{""id"": 28991328, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 807JR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 89385, ""pos"": {""c"": 210, ""f"": 7, ""s"": 31, ""t"": 1768798542, ""x"": 59.177796, ""y"": 49.645158, ""z"": -6, ""lc"": 0, ""sc"": 15}, ""cneh"": 3332.64111111, ""cnkb"": 113022, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608245, ""id"": 1, ""mt"": 1751608245}, ""2"": {""n"": ""registration_plate"", ""v"": ""807JR12"", ""ct"": 1751608245, ""id"": 2, ""mt"": 1752212313}}, ""cnm_km"": 89385, ""pfldsmax"": 0}"
28991335,BPA_Daewoo BH 120F GDW 838VW12,2,0,1768798436,49.65315,59.182306,838VW12,"{""id"": 28991335, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 838VW12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 101971, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1768798436, ""x"": 59.182306, ""y"": 49.65315, ""z"": -17, ""lc"": 0, ""sc"": 15}, ""cneh"": 4927.95555556, ""cnkb"": 192749, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738399861, ""id"": 1, ""mt"": 1738399861}, ""2"": {""n"": ""registration_plate"", ""v"": ""838VW12"", ""ct"": 1751608451, ""id"": 2, ""mt"": 1752211094}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608451, ""id"": 3, ""mt"": 1751608451}}, ""cnm_km"": 101971, ""pfldsmax"": 0}"
28991347,BPA_Daewoo BH 120F GDW 968EG12,2,0,1768798535,49.632196,59.238093,968EG12,"{""id"": 28991347, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 968EG12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 119591, ""pos"": {""c"": 9, ""f"": 7, ""s"": 0, ""t"": 1768798535, ""x"": 59.238093, ""y"": 49.632196, ""z"": -10, ""lc"": 0, ""sc"": 15}, ""cneh"": 4727.6025, ""cnkb"": 163850, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400038, ""id"": 1, ""mt"": 1738400038}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608497, ""id"": 2, ""mt"": 1751608497}, ""3"": {""n"": ""registration_plate"", ""v"": ""968EG12"", ""ct"": 1751608497, ""id"": 3, ""mt"": 1752212333}}, ""cnm_km"": 119591, ""pfldsmax"": 0}"
28991352,BPA_Daewoo BH 120F GDW 050ND12,2,0,1768798544,49.635231,59.23685,050ND12,"{""id"": 28991352, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 050ND12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 152556, ""pos"": {""c"": 90, ""f"": 7, ""s"": 47, ""t"": 1768798544, ""x"": 59.23685, ""y"": 49.635231, ""z"": -14, ""lc"": 0, ""sc"": 15}, ""cneh"": 6046.26777778, ""cnkb"": 194120, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400230, ""id"": 1, ""mt"": 1738400230}, ""2"": {""n"": ""registration_plate"", ""v"": ""050ND12"", ""ct"": 1751608518, ""id"": 2, ""mt"": 1752212349}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608518, ""id"": 3, ""mt"": 1751608518}}, ""cnm_km"": 152556, ""pfldsmax"": 0}"
28991362,BPA_Daewoo BH 120F GDW 604QR12,2,0,1768798543,49.631946,59.238196,604QR12,"{""id"": 28991362, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 604QR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 422194, ""pos"": {""c"": 340, ""f"": 7, ""s"": 0, ""t"": 1768798543, ""x"": 59.238196, ""y"": 49.631946, ""z"": -7, ""lc"": 0, ""sc"": 15}, ""cneh"": 4517.71388889, ""cnkb"": 271837, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""604QR12"", ""ct"": 1751608546, ""id"": 1, ""mt"": 1752210970}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608546, ""id"": 2, ""mt"": 1751608546}}, ""cnm_km"": 422194, ""pfldsmax"": 0}"
28996029,BPA_Daewoo BH-120F GDW 357UJ12,2,0,1768203887,49.653171,59.181911,357UJ12,"{""id"": 28996029, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 357UJ12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 439244, ""pos"": {""c"": 66, ""f"": 7, ""s"": 0, ""t"": 1768203887, ""x"": 59.181911, ""y"": 49.653171, ""z"": -9, ""lc"": 0, ""sc"": 15}, ""cneh"": 4354.75138889, ""cnkb"": 98953, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""357UJ12"", ""ct"": 1751608564, ""id"": 1, ""mt"": 1752210960}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH-120F GDW"", ""ct"": 1751608564, ""id"": 2, ""mt"": 1751608564}}, ""cnm_km"": 439244, ""pfldsmax"": 0}"
28996025,BPA_Daewoo BH-120F GDW 813BC12,2,0,1768798461,49.63178,59.238233,813BC12,"{""id"": 28996025, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 813BC12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 277, ""f"": 7, ""s"": 0, ""t"": 1768798461, ""x"": 59.238233, ""y"": 49.63178, ""z"": -16, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""813BC12"", ""ct"": 1751608581, ""id"": 1, ""mt"": 1752210949}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608581, ""id"": 2, ""mt"": 1751608581}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
28996027,BPA_Daewoo BH-120F GDW 834ZX12,2,0,1768798519,49.631861,59.238171,834ZX12,"{""id"": 28996027, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 834ZX12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 422471, ""pos"": {""c"": 345, ""f"": 7, ""s"": 0, ""t"": 1768798519, ""x"": 59.238171, ""y"": 49.631861, ""z"": -21, ""lc"": 0, ""sc"": 15}, ""cneh"": 3800.98194444, ""cnkb"": 81208, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""834ZX12"", ""ct"": 1751608604, ""id"": 1, ""mt"": 1752210978}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608604, ""id"": 2, ""mt"": 1751608604}}, ""cnm_km"": 422471, ""pfldsmax"": 0}"
28996028,BPA_Daewoo BH-120F GDW 569EA12,2,0,1768798524,49.635263,59.226238,569EA12,"{""id"": 28996028, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 569EA12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 446150, ""pos"": {""c"": 90, ""f"": 7, ""s"": 20, ""t"": 1768798524, ""x"": 59.226238, ""y"": 49.635263, ""z"": -20, ""lc"": 0, ""sc"": 13}, ""cneh"": 4442.36138889, ""cnkb"": 107416, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""569EA12"", ""ct"": 1751608617, ""id"": 1, ""mt"": 1752210986}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608617, ""id"": 2, ""mt"": 1751608617}}, ""cnm_km"": 446150, ""pfldsmax"": 0}"
28996024,BPA_Daewoo BH-120F GDW 732FQ12,2,0,1768798503,49.654106,59.182893,732FQ12,"{""id"": 28996024, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 732FQ12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1768798503, ""x"": 59.182893, ""y"": 49.654106, ""z"": -1, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""732FQ12"", ""ct"": 1751608629, ""id"": 1, ""mt"": 1752211009}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608629, ""id"": 2, ""mt"": 1751608629}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
