wialon_id,nm,cls,mu,pos_t,pos_y,pos_x,registration_plate,payload_json
28991366,BPA_Daewoo BH-120F GDW 744AD12,2,0,1771244200,49.674791,59.16344,744AD12,"{""id"": 28991366, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 744AD12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 437792, ""pos"": {""c"": 320, ""f"": 7, ""s"": 29, ""t"": 1771244200, ""x"": 59.16344, ""y"": 49.674791, ""z"": 10, ""lc"": 0, ""sc"": 15}, ""cneh"": 3173.40027778, ""cnkb"": 104865, ""uacl"": 4178867978239, ""pflds"": {""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1738400664, ""id"": 3, ""mt"": 1751608659}, ""4"": {""n"": ""registration_plate"", ""v"": ""744AD12"", ""ct"": 1738400664, ""id"": 4, ""mt"": 1752212365}}, ""cnm_km"": 437792, ""pfldsmax"": 0}"
26454911,BPA_Hyundai County 091ZZ12,2,0,1771244023,49.546406,59.956521,091ZZ12,"{""id"": 26454911, ""mu"": 0, ""nm"": ""BPA_Hyundai County 091ZZ12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 409111, ""pos"": {""c"": 287, ""f"": 7, ""s"": 84, ""t"": 1771244023, ""x"": 59.956521, ""y"": 49.546406, ""z"": 128, ""lc"": 0, ""sc"": 15}, ""cneh"": 12848.3872222, ""cnkb"": 460941, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""091ZZ12"", ""ct"": 1738299252, ""id"": 1, ""mt"": 1752212498}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738299252, ""id"": 3, ""mt"": 1751609729}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 7x"", ""ct"": 1738299252, ""id"": 4, ""mt"": 1738299252}}, ""cnm_km"": 409111, ""pfldsmax"": 0}"
26454950,BPA_Hyundai County 622TL12,2,0,1771244224,49.549138,60.125508,622TL12,"{""id"": 26454950, ""mu"": 0, ""nm"": ""BPA_Hyundai County 622TL12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 384524, ""pos"": {""c"": 293, ""f"": 5, ""s"": 21, ""t"": 1771244224, ""x"": 60.125508, ""y"": 49.549138, ""z"": 148, ""lc"": 0, ""sc"": 15}, ""cneh"": 1055865.11861, ""cnkb"": 313238, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""622TL12"", ""ct"": 1675235033, ""id"": 1, ""mt"": 1752212443}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738298537, ""id"": 3, ""mt"": 1751609793}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 5.0"", ""ct"": 1738298537, ""id"": 4, ""mt"": 1738298537}}, ""cnm_km"": 384524, ""pfldsmax"": 0}"
26454963,BPA_Hyundai County 711 LA12,2,0,1771244201,49.653045,59.181505,711 LA12,"{""id"": 26454963, ""mu"": 0, ""nm"": ""BPA_Hyundai County 711 LA12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 385715, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1771244201, ""x"": 59.181505, ""y"": 49.653045, ""z"": 18, ""lc"": 0, ""sc"": 12}, ""cneh"": 1055955.56083, ""cnkb"": 405223, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""711 LA12"", ""ct"": 1738298498, ""id"": 1, ""mt"": 1752212575}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738298498, ""id"": 3, ""mt"": 1751609804}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 7x"", ""ct"": 1738298498, ""id"": 4, ""mt"": 1738298498}}, ""cnm_km"": 385715, ""pfldsmax"": 0}"
26454971,BPA_Hyundai County 809 EC12,2,0,1771244221,49.677573,59.165961,809 EC12,"{""id"": 26454971, ""mu"": 0, ""nm"": ""BPA_Hyundai County 809 EC12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 467021, ""pos"": {""c"": 48, ""f"": 7, ""s"": 33, ""t"": 1771244221, ""x"": 59.165961, ""y"": 49.677573, ""z"": 23, ""lc"": 0, ""sc"": 13}, ""cneh"": 28254.2794444, ""cnkb"": 339961, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""809 EC12"", ""ct"": 1738298580, ""id"": 1, ""mt"": 1752212593}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738298580, ""id"": 3, ""mt"": 1751609816}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 7x"", ""ct"": 1738298580, ""id"": 4, ""mt"": 1738298580}}, ""cnm_km"": 467021, ""pfldsmax"": 0}"
26455003,BPA_Hyundai County 029 TR12,2,0,1771244176,49.65337,59.181841,029 TR12,"{""id"": 26455003, ""mu"": 0, ""nm"": ""BPA_Hyundai County 029 TR12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 445963, ""pos"": {""c"": 48, ""f"": 5, ""s"": 0, ""t"": 1771244176, ""x"": 59.181841, ""y"": 49.65337, ""z"": -5, ""lc"": 0, ""sc"": 15}, ""cneh"": 1058018.74, ""cnkb"": 393405, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""029 TR12"", ""ct"": 1738298612, ""id"": 1, ""mt"": 1752212625}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738298612, ""id"": 3, ""mt"": 1751609839}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 5.0"", ""ct"": 1738298612, ""id"": 4, ""mt"": 1738298612}}, ""cnm_km"": 445963, ""pfldsmax"": 0}"
26455112,BPA_Hyundai County 045 MQ12,2,0,1771244200,49.653355,59.181636,045 MQ12,"{""id"": 26455112, ""mu"": 0, ""nm"": ""BPA_Hyundai County 045 MQ12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 447092, ""pos"": {""c"": 244, ""f"": 7, ""s"": 0, ""t"": 1771244200, ""x"": 59.181636, ""y"": 49.653355, ""z"": -13, ""lc"": 0, ""sc"": 14}, ""cneh"": 1061868.36722, ""cnkb"": 509620, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""045 MQ12"", ""ct"": 1738298641, ""id"": 1, ""mt"": 1752213919}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738298641, ""id"": 3, ""mt"": 1751609897}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 7x"", ""ct"": 1738298641, ""id"": 4, ""mt"": 1738298641}}, ""cnm_km"": 447092, ""pfldsmax"": 0}"
29835971,ÐÐ¢Ð_119 ZU|12 Yutong Ð°Ð²ÑÐ¾Ð±ÑÑ,2,0,1771232807,49.6536,59.182483,,"{""id"": 29835971, ""mu"": 0, ""nm"": ""ÐÐ¢Ð_119 ZU|12 Yutong Ð°Ð²ÑÐ¾Ð±ÑÑ"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 3902, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1771232807, ""x"": 59.182483, ""y"": 49.6536, ""z"": -6, ""lc"": 0, ""sc"": 15}, ""cneh"": 175.826666667, ""cnkb"": 16228, ""uacl"": 4178867978239, ""pflds"": {}, ""cnm_km"": 3902, ""pfldsmax"": 0}"
26454919,BPA_Hyundai County kz586JN12,2,0,1771244206,49.653321,59.181968,kz586JN12,"{""id"": 26454919, ""mu"": 0, ""nm"": ""BPA_Hyundai County kz586JN12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 415237, ""pos"": {""c"": 67, ""f"": 7, ""s"": 0, ""t"": 1771244206, ""x"": 59.181968, ""y"": 49.653321, ""z"": -12, ""lc"": 0, ""sc"": 15}, ""cneh"": 16130.7233333, ""cnkb"": 419330, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""kz586JN12"", ""ct"": 1738299075, ""id"": 1, ""mt"": 1752212517}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738299075, ""id"": 3, ""mt"": 1751609745}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 7x"", ""ct"": 1738299075, ""id"": 4, ""mt"": 1738299075}}, ""cnm_km"": 415237, ""pfldsmax"": 0}"
26454928,BPA_Hyundai County KZ203TU12,2,0,1770780227,49.653551,59.182226,KZ203TU12,"{""id"": 26454928, ""mu"": 0, ""nm"": ""BPA_Hyundai County KZ203TU12"", ""cfl"": 1808, ""cls"": 2, ""cnm"": 420730, ""pos"": {""c"": 226, ""f"": 5, ""s"": 0, ""t"": 1770780227, ""x"": 59.182226, ""y"": 49.653551, ""z"": -8, ""lc"": 0, ""sc"": 15}, ""cneh"": 13920.1308333, ""cnkb"": 428326, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""KZ203TU12"", ""ct"": 1738300753, ""id"": 1, ""mt"": 1752212539}, ""3"": {""n"": ""model"", ""v"": ""Hyundai CountÑ"", ""ct"": 1738300753, ""id"": 3, ""mt"": 1751609758}, ""4"": {""n"": ""color"", ""v"": ""Galileosky 5.0"", ""ct"": 1738300753, ""id"": 4, ""mt"": 1738300753}}, ""cnm_km"": 420730, ""pfldsmax"": 0}"
