id,node_id,lon,lat
172,94,55.39597858,46.62193199
173,95,55.39907169,46.62108884
174,419,55.39798941,46.62199920
175,712,55.39740737,46.62147157
176,4322,55.39810743,46.62464171
177,4400,55.39610933,46.62881033
178,96,55.40200099,46.62029863
179,4323,55.40194989,46.62356079
180,97,55.40504875,46.61951080
181,4324,55.40501694,46.62269228
182,98,55.40755907,46.61888076
183,4325,55.40750784,46.62191900
184,99,55.40902099,46.61837585
185,100,55.41099031,46.61786305
186,4326,55.41104921,46.62100218
187,4396,55.41130900,46.62275360
188,101,55.41401059,46.61704540
189,4327,55.41394300,46.62017411
190,4328,55.41699489,46.61931116
191,102,55.41698886,46.61623925
192,103,55.41920822,46.61584140
193,4329,55.41988573,46.61898885
194,104,55.42059678,46.61525104
195,105,55.42300596,46.61460640
196,4330,55.42293439,46.61763568
197,106,55.42600244,46.61378963
198,4331,55.42609475,46.61678828
199,4332,55.42892035,46.61598750
200,107,55.42889458,46.61302137
201,108,55.43216823,46.61209996
202,418,55.43113821,46.61320924
203,507,55.43029305,46.61244160
204,4404,55.42842457,46.61995029
205,109,55.43499983,46.61135677
206,4333,55.43501246,46.61421970
207,110,55.43800712,46.61054126
208,4334,55.43816115,46.61333137
209,111,55.44078201,46.60992219
210,4342,55.44026871,46.61274058
211,112,55.44190083,46.60930259
212,113,55.44401831,46.60890666
213,417,55.44381554,46.61122946
214,114,55.44704764,46.60824510
215,4335,55.44681817,46.61013489
216,115,55.44999249,46.60729435
217,116,55.45215176,46.60670560
218,117,55.45363447,46.60613379
219,118,55.45598270,46.60467540
220,508,55.45739530,46.60340572
221,119,55.45892920,46.60250772
222,120,55.46197565,46.60135303
223,121,55.46500469,46.60095881
224,122,55.46801781,46.60076697
225,123,55.47078062,46.60060920
226,124,55.47184975,46.60045728
227,125,55.47410514,46.60036703
228,416,55.47295754,46.60052696
229,126,55.47698532,46.60019407
230,127,55.47999852,46.60000206
231,128,55.48299300,46.59980961
232,129,55.48599007,46.59961894
233,130,55.48899938,46.59942624
234,131,55.49199687,46.59923611
235,132,55.49498670,46.59908613
236,133,55.49798970,46.59898549
237,134,55.50099379,46.59891374
238,135,55.50399332,46.59884246
239,136,55.50698578,46.59877136
240,137,55.50998843,46.59869810
241,138,55.51299378,46.59861476
242,139,55.51599750,46.59840511
243,140,55.51899502,46.59802032
244,141,55.52127406,46.59764610
245,142,55.52263111,46.59731528
246,143,55.52498448,46.59682441
247,144,55.52799471,46.59618333
248,145,55.53101827,46.59554320
249,146,55.53380705,46.59506943
250,509,55.53321990,46.59910318
251,147,55.53717430,46.59421454
252,415,55.53581232,46.59457206
253,510,55.53394515,46.60169708
254,148,55.54000838,46.59360720
255,149,55.54284251,46.59301318
256,150,55.54599520,46.59233343
257,151,55.54871515,46.59175937
258,152,55.55011853,46.59141789
259,153,55.55200156,46.59104729
260,154,55.55500255,46.59040629
261,155,55.55800103,46.58976362
262,156,55.56099263,46.58912246
263,157,55.56322429,46.58865914
264,158,55.56466286,46.58832464
265,159,55.56700688,46.58788126
266,160,55.57000536,46.58741775
267,161,55.57299497,46.58706322
268,162,55.57601502,46.58671850
269,163,55.57901413,46.58637741
270,164,55.58200441,46.58603683
271,165,55.58498490,46.58573462
272,166,55.58792474,46.58559404
273,1310,55.58864202,46.58548633
274,167,55.59102834,46.58561716
275,1348,55.59008793,46.58548783
276,168,55.59401132,46.58581587
277,169,55.59701689,46.58612368
278,170,55.60000038,46.58643732
279,171,55.60301450,46.58675322
280,172,55.60600970,46.58706543
281,173,55.60897982,46.58737572
282,174,55.61197357,46.58768882
283,175,55.61499828,46.58800552
284,176,55.61790887,46.58830326
285,177,55.61988933,46.58845445
286,178,55.62116733,46.58865788
287,414,55.61922220,46.58852487
288,179,55.62398726,46.58894151
289,180,55.62701224,46.58925649
290,181,55.63000455,46.58956731
291,182,55.63298445,46.58987865
292,183,55.63598814,46.59018979
293,184,55.63900852,46.59050389
294,185,55.64201379,46.59081718
295,186,55.64499596,46.59112874
296,187,55.64763134,46.59138269
297,413,55.64880834,46.59156997
298,188,55.65100835,46.59175435
299,189,55.65400876,46.59206694
300,190,55.65699692,46.59237913
301,191,55.66000370,46.59268266
302,192,55.66300952,46.59298367
303,193,55.66600395,46.59326405
304,194,55.66901527,46.59339014
305,195,55.67200654,46.59334386
306,196,55.67499563,46.59325567
307,197,55.67801601,46.59314982
308,198,55.68101216,46.59276050
309,199,55.68372969,46.59195106
310,200,55.68520428,46.59137881
311,201,55.68700295,46.59073030
312,202,55.69000648,46.58960984
313,203,55.69227505,46.58877453
314,204,55.69374608,46.58820772
315,205,55.69601523,46.58736953
316,206,55.69902075,46.58624931
317,412,55.70080867,46.58560444
318,207,55.70225993,46.58503542
319,208,55.70499580,46.58402349
320,209,55.70779487,46.58298461
321,210,55.70924303,46.58240662
322,211,55.71098865,46.58178875
323,212,55.71399869,46.58066228
324,213,55.71639241,46.57980893
325,214,55.71773037,46.57919197
326,215,55.71999214,46.57842454
327,216,55.72298220,46.57731439
328,217,55.72485404,46.57663398
329,218,55.72631937,46.57606451
330,219,55.72898768,46.57506735
331,220,55.73184015,46.57403646
332,221,55.73312411,46.57337495
333,1647,55.73356250,46.57352955
334,222,55.73501480,46.57283167
335,223,55.73800117,46.57175910
336,224,55.74095708,46.57111957
337,225,55.74400714,46.57090721
338,226,55.74658060,46.57064613
339,227,55.74792087,46.57042158
340,228,55.74989240,46.57037592
341,229,55.75189891,46.57045885
342,230,55.75316611,46.57062825
343,881,55.75115087,46.57052637
344,231,55.75558564,46.57059865
345,232,55.75680137,46.57042494
346,233,55.75900285,46.57024231
347,234,55.76200303,46.56995415
348,235,55.76499480,46.56969336
349,236,55.76800910,46.56944520
350,237,55.77100385,46.56919852
351,238,55.77398264,46.56895385
352,239,55.77698434,46.56870590
353,240,55.77998524,46.56845826
