wialon_id,nm,cls,mu,pos_t,pos_y,pos_x,registration_plate,payload_json
28991328,BPA_Daewoo BH 120F GDW 807JR12,2,0,1771242141,49.65237,59.182998,807JR12,"{""id"": 28991328, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 807JR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 94423, ""pos"": {""c"": 321, ""f"": 7, ""s"": 0, ""t"": 1771242141, ""x"": 59.182998, ""y"": 49.65237, ""z"": -9, ""lc"": 0, ""sc"": 15}, ""cneh"": 3505.73083333, ""cnkb"": 120055, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608245, ""id"": 1, ""mt"": 1751608245}, ""2"": {""n"": ""registration_plate"", ""v"": ""807JR12"", ""ct"": 1751608245, ""id"": 2, ""mt"": 1752212313}}, ""cnm_km"": 94423, ""pfldsmax"": 0}"
28991335,BPA_Daewoo BH 120F GDW 838VW12,2,0,1771267736,49.652743,59.183205,838VW12,"{""id"": 28991335, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 838VW12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 107902, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1771267736, ""x"": 59.183205, ""y"": 49.652743, ""z"": 6, ""lc"": 0, ""sc"": 15}, ""cneh"": 5126.61944444, ""cnkb"": 197855, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738399861, ""id"": 1, ""mt"": 1738399861}, ""2"": {""n"": ""registration_plate"", ""v"": ""838VW12"", ""ct"": 1751608451, ""id"": 2, ""mt"": 1752211094}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608451, ""id"": 3, ""mt"": 1751608451}}, ""cnm_km"": 107902, ""pfldsmax"": 0}"
28991347,BPA_Daewoo BH 120F GDW 968EG12,2,0,1771302004,49.516448,60.078918,968EG12,"{""id"": 28991347, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 968EG12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 124816, ""pos"": {""c"": 294, ""f"": 7, ""s"": 0, ""t"": 1771302004, ""x"": 60.078918, ""y"": 49.516448, ""z"": 154, ""lc"": 0, ""sc"": 15}, ""cneh"": 4900.85833333, ""cnkb"": 169242, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400038, ""id"": 1, ""mt"": 1738400038}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608497, ""id"": 2, ""mt"": 1751608497}, ""3"": {""n"": ""registration_plate"", ""v"": ""968EG12"", ""ct"": 1751608497, ""id"": 3, ""mt"": 1752212333}}, ""cnm_km"": 124816, ""pfldsmax"": 0}"
28991352,BPA_Daewoo BH 120F GDW 050ND12,2,0,1770560965,49.65335,59.18309,050ND12,"{""id"": 28991352, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 050ND12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 155247, ""pos"": {""c"": 261, ""f"": 7, ""s"": 0, ""t"": 1770560965, ""x"": 59.18309, ""y"": 49.65335, ""z"": -14, ""lc"": 0, ""sc"": 15}, ""cneh"": 6149.13833333, ""cnkb"": 198273, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""vehicle_class"", ""v"": ""empty_vehicle"", ""ct"": 1738400230, ""id"": 1, ""mt"": 1738400230}, ""2"": {""n"": ""registration_plate"", ""v"": ""050ND12"", ""ct"": 1751608518, ""id"": 2, ""mt"": 1752212349}, ""3"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608518, ""id"": 3, ""mt"": 1751608518}}, ""cnm_km"": 155247, ""pfldsmax"": 0}"
28991362,BPA_Daewoo BH 120F GDW 604QR12,2,0,1771302005,49.503725,60.081713,604QR12,"{""id"": 28991362, ""mu"": 0, ""nm"": ""BPA_Daewoo BH 120F GDW 604QR12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 427981, ""pos"": {""c"": 265, ""f"": 7, ""s"": 0, ""t"": 1771302005, ""x"": 60.081713, ""y"": 49.503725, ""z"": 149, ""lc"": 0, ""sc"": 15}, ""cneh"": 4729.10916667, ""cnkb"": 276645, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""604QR12"", ""ct"": 1751608546, ""id"": 1, ""mt"": 1752210970}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F GDW"", ""ct"": 1751608546, ""id"": 2, ""mt"": 1751608546}}, ""cnm_km"": 427981, ""pfldsmax"": 0}"
28996029,BPA_Daewoo BH-120F GDW 357UJ12,2,0,1771254459,49.653328,59.183021,357UJ12,"{""id"": 28996029, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 357UJ12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 441765, ""pos"": {""c"": 47, ""f"": 7, ""s"": 0, ""t"": 1771254459, ""x"": 59.183021, ""y"": 49.653328, ""z"": -23, ""lc"": 0, ""sc"": 15}, ""cneh"": 4472.895, ""cnkb"": 102658, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""357UJ12"", ""ct"": 1751608564, ""id"": 1, ""mt"": 1752210960}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH-120F GDW"", ""ct"": 1751608564, ""id"": 2, ""mt"": 1751608564}}, ""cnm_km"": 441765, ""pfldsmax"": 0}"
28996025,BPA_Daewoo BH-120F GDW 813BC12,2,0,1771218774,49.653918,59.182918,813BC12,"{""id"": 28996025, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 813BC12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 78, ""f"": 7, ""s"": 0, ""t"": 1771218774, ""x"": 59.182918, ""y"": 49.653918, ""z"": -4, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""813BC12"", ""ct"": 1751608581, ""id"": 1, ""mt"": 1752210949}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608581, ""id"": 2, ""mt"": 1751608581}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
28996027,BPA_Daewoo BH-120F GDW 834ZX12,2,0,1771233063,49.653018,59.182048,834ZX12,"{""id"": 28996027, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 834ZX12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 427328, ""pos"": {""c"": 39, ""f"": 7, ""s"": 0, ""t"": 1771233063, ""x"": 59.182048, ""y"": 49.653018, ""z"": 26, ""lc"": 0, ""sc"": 12}, ""cneh"": 3955.13138889, ""cnkb"": 86980, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""834ZX12"", ""ct"": 1751608604, ""id"": 1, ""mt"": 1752210978}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608604, ""id"": 2, ""mt"": 1751608604}}, ""cnm_km"": 427328, ""pfldsmax"": 0}"
28996028,BPA_Daewoo BH-120F GDW 569EA12,2,0,1771287803,49.653275,59.183325,569EA12,"{""id"": 28996028, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 569EA12"", ""cfl"": 1811, ""cls"": 2, ""cnm"": 448842, ""pos"": {""c"": 0, ""f"": 7, ""s"": 0, ""t"": 1771287803, ""x"": 59.183325, ""y"": 49.653275, ""z"": -26, ""lc"": 0, ""sc"": 15}, ""cneh"": 4592.47583333, ""cnkb"": 111869, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""569EA12"", ""ct"": 1751608617, ""id"": 1, ""mt"": 1752210986}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608617, ""id"": 2, ""mt"": 1751608617}}, ""cnm_km"": 448842, ""pfldsmax"": 0}"
28996024,BPA_Daewoo BH-120F GDW 732FQ12,2,0,1771298815,49.503713,60.081995,732FQ12,"{""id"": 28996024, ""mu"": 0, ""nm"": ""BPA_Daewoo BH-120F GDW 732FQ12"", ""cfl"": 16, ""cls"": 2, ""cnm"": 0, ""pos"": {""c"": 294, ""f"": 7, ""s"": 0, ""t"": 1771298815, ""x"": 60.081995, ""y"": 49.503713, ""z"": 148, ""lc"": 0, ""sc"": 15}, ""cneh"": 0, ""cnkb"": 0, ""uacl"": 4178867978239, ""pflds"": {""1"": {""n"": ""registration_plate"", ""v"": ""732FQ12"", ""ct"": 1751608629, ""id"": 1, ""mt"": 1752211009}, ""2"": {""n"": ""model"", ""v"": ""Daewoo BH 120F"", ""ct"": 1751608629, ""id"": 2, ""mt"": 1751608629}}, ""cnm_km"": 0, ""pfldsmax"": 0}"
