id,uwi,latitude,longitude,well_name
111,ASA_0064,46.55050000,56.40131000,G_64/Асар
112,ASA_0065,46.54553000,56.41554000,#Н/Д
113,ASA_0066,46.55042000,56.40489000,#Н/Д
114,ASA_0067,46.54174445,56.40303344,G_67 Асар
115,ASA_0068,46.54698000,56.40882000,#Н/Д
116,ASA_0069,46.54925804,56.41217420,69-Асар
117,ASA_0070,46.54647000,56.41175000,G_70-Асар
118,ASA_0071,46.54414698,56.41520514,71 Асар
119,ASA_0073,46.54682000,56.41670000,G_73/Асар. доб
120,ASA_0074,46.53601000,56.41129000,#Н/Д
121,ASA_0075,46.54492000,56.42204000,G_75/Асар
122,ASA_0076,46.54056000,56.42390000,76-Асар
123,ASA_0077,46.53889000,56.42718000,G_77/Асар
124,ASA_0078,46.54661243,56.40474380,G_78 / Асар
125,ASA_0080,46.56511689,56.38898696,G_80/Асар.
126,ASA_0094,46.55605000,56.38837000,#Н/Д
127,ASA_0095,46.54626000,56.39640000,95 Асар
128,ASA_0112,46.54205000,56.40955000,
129,ASA_0115,46.54658000,56.42378000,
130,ASA_0116,46.54353000,56.42154000,
131,ASA_0117,46.53825000,56.41822000,G_117-АСАР
132,ASA_0119,46.54103000,56.42929000,G_119-Асар
133,ASA_0120,46.53641000,56.42780000,
134,ASA_0122,46.53862000,56.43530000,G_122-Асар
135,ASA_0125,46.53724000,56.43915000,
136,ASA_0130,46.55069000,56.40982000,
137,ASA_0131,46.54685000,56.40715000,
138,ASA_0132,46.54396000,56.40526000,
139,ASA_0133,46.54461000,56.42744000,
140,ASA_0134,46.54222000,56.42595000,
141,ASA_0135,46.54083000,56.42489000,135-Асар
142,ASA_0136,46.53779000,56.42317000,
143,ASA_0137,46.54308000,56.43141000,
144,ASA_0138,46.53910000,56.42772000,G_138-АСАР
145,ASA_0139,46.53387000,56.43149000,G_139-АСАР
146,ASA_0140,46.53415000,56.43687000,G_140-Асар
147,ASA_0141,46.53669000,56.44526000,
148,ASA_0142,46.53276000,56.44327000,#Н/Д
149,ASA_0143,46.54616000,56.42380000,G_143-Асар
150,ASA_0144,46.54434000,56.42032000,G_144/Асар
151,ASA_0145,46.54191000,56.41945000,G_145/Асар
152,ASA_0146,46.54680000,56.41665000,146-Асар доб.
153,ASA_0147,46.54415000,56.41520000,147-Асар
154,ASA_0148,46.54416000,56.41516000,
155,ASA_0149,46.54799000,56.41200000,
156,ASA_0150,46.54505000,56.41083000,
157,ASA_0152,46.55149000,56.40486000,G_152-АСАР
158,ASA_0153,46.53579000,56.44243000,
159,ASA_0171,46.54344000,56.41465000,G_171-Асар
160,ASA_0172,46.53568000,56.42854000,172-Асар доб.
161,ASA_0173,46.54151854,56.42002028,173/Асар
162,ASA_0174,46.55337000,56.39505000,G_174/Асар
163,ASA_0176,46.54346000,56.42680000,G_176-АСАР
164,ASA_0178,46.52519000,56.44357000,G_178-Асар
